N,k,m,Ac,mloss,epochs,time,t_forward,t_loss,t_optim,t_norm
50,3,2,1.000000,0.313262,18,1.522744,0.535641,0.963280,0.019290,0.004045
264,3,2,1.000000,0.313262,20,6.538194,2.539505,3.935793,0.057239,0.005165
478,3,2,1.000000,0.315436,29,15.531258,5.683127,9.690238,0.150587,0.006723
692,3,2,0.995192,0.320773,21,18.477500,6.027003,12.258918,0.186107,0.004984
907,3,2,1.000000,0.314591,35,36.424799,12.575384,23.471946,0.368550,0.008056
1121,3,2,0.997033,0.317546,39,51.899087,17.593213,33.751753,0.541740,0.011308
1335,3,2,0.995012,0.315458,17,24.754180,8.282723,16.190355,0.270409,0.010228
1550,3,2,0.993548,0.314608,42,76.623723,26.320703,49.533732,0.753721,0.014597
1764,3,2,0.998113,0.314751,29,57.186542,20.086390,36.499123,0.584911,0.015423
1978,3,2,0.998316,0.314340,20,43.468475,15.197306,27.787187,0.466873,0.016598
2192,3,2,0.996960,0.315475,32,75.501595,25.632190,48.950361,0.888480,0.029830
2407,3,2,0.998617,0.315537,23,55.229809,18.436136,36.093609,0.676311,0.023246
2621,3,2,0.998729,0.320190,31,87.746295,29.509723,57.013094,1.183465,0.039292
2835,3,2,0.998825,0.315177,30,91.941158,29.962477,60.573812,1.352283,0.051906
3050,3,2,1.000000,0.319096,37,121.975312,39.364270,80.770683,1.747385,0.092130

